DATE,QDEN628BIS
2003-01-01,93.44
2003-04-01,92.79
2003-07-01,92.69
2003-10-01,93.25
2004-01-01,93.16
2004-04-01,93.72
2004-07-01,93.62
2004-10-01,94.28
2005-01-01,97.72
2005-04-01,96.32
2005-07-01,97.44
2005-10-01,96.79
2006-01-01,96.04
2006-04-01,97.35
2006-07-01,98.28
2006-10-01,97.25
2007-01-01,96.70
2007-04-01,96.60
2007-07-01,97.25
2007-10-01,97.44
2008-01-01,99.49
2008-04-01,100.23
2008-07-01,99.67
2008-10-01,100.33
2009-01-01,100.14
2009-04-01,99.12
2009-07-01,99.12
2009-10-01,99.58
2010-01-01,98.65
2010-04-01,99.77
2010-07-01,100.51
2010-10-01,101.07
2011-01-01,101.72
2011-04-01,102.09
2011-07-01,103.21
2011-10-01,103.40
2012-01-01,104.23
2012-04-01,105.63
2012-07-01,106.00
2012-10-01,106.93
2013-01-01,107.77
2013-04-01,109.07
2013-07-01,110.00
2013-10-01,109.54
2014-01-01,110.38
2014-04-01,111.77
2014-07-01,113.45
2014-10-01,114.29
2015-01-01,115.87
2015-04-01,116.71
2015-07-01,118.38
2015-10-01,119.31
2016-01-01,121.36
2016-04-01,124.06
2016-07-01,125.92
2016-10-01,127.13
